,WaferNo,BatchNo,TestDate,ChipID,Model,PFcode,MfgStep,Ith,Vf,Pwr,PwrEOL,SlopeEff,RollingFactor,Vkink,IforVkink,DiffR,Iop2,Pop2,Vop2,ModeECLwave,WLRange,IthRange,SpecChange,LargeIthChange,Warning
185007,19010570,5413000.0,10/15/15,FY095,G3188-001-110,0:09,2,41.8,1.181,44.8,55.5,0.28600000000000003,15.81%,1.186,256.8,1.4169999999999998,350.0,42.74,1.1520000000000001,1560.6,1560.6,1.2999999999999972,True,False,True
185008,19010570,5413000.0,10/13/15,FY096,G3188-001-110,0:09,1,39.5,1.163,45.0,52.0,0.278,22.08%,1.1520000000000001,228.4,1.421,350.0,40.23,1.1420000000000001,0.0,1559.6,1.6000000000000014,True,False,True
185009,19010570,5413000.0,10/15/15,FY096,G3188-001-110,0:09,2,41.1,1.175,44.9,54.6,0.284,17.52%,1.172,246.8,1.409,350.0,41.31,1.1420000000000001,1559.6,1559.6,1.6000000000000014,True,False,True
185010,19010570,5413000.0,10/13/15,FY097,G3188-001-110,0:09,1,43.3,1.162,41.9,48.2,0.266,23.00%,1.1520000000000001,230.1,1.4040000000000001,350.0,35.98,1.139,0.0,1558.6,0.6000000000000014,True,False,True
185011,19010570,5413000.0,10/15/15,FY097,G3188-001-110,0:09,2,43.9,1.176,41.9,51.0,0.27,17.87%,1.179,255.1,1.3969999999999998,350.0,37.67,1.1440000000000001,1558.6,1558.6,0.6000000000000014,True,False,True
185012,19010570,5413000.0,10/13/15,FY098,G3188-001-110,0:09,1,40.2,1.1740000000000002,45.2,52.9,0.28300000000000003,20.83%,1.162,230.1,1.452,350.0,41.23,1.153,0.0,1559.9,0.7000000000000028,True,False,True
185013,19010570,5413000.0,10/15/15,FY098,G3188-001-110,0:09,2,39.5,1.162,45.3,52.4,0.281,21.67%,1.151,228.4,1.4169999999999998,350.0,40.65,1.139,1559.9,1559.9,0.7000000000000028,True,False,True
185014,19010570,5413000.0,10/13/15,FY100,G3188-001-110,0:09,1,40.2,1.17,45.6,54.2,0.285,19.20%,1.162,236.8,1.42,350.0,41.98,1.145,0.0,1561.0,0.6999999999999957,True,False,True
185015,19010570,5413000.0,10/16/15,FY100,G3188-001-110,0:09,2,40.9,1.18,45.2,55.9,0.28600000000000003,15.92%,1.185,256.7,1.415,350.0,42.38,1.147,1561.0,1561.0,0.6999999999999957,True,False,True
185016,19010570,5413000.0,10/13/15,FY103,G3188-001-110,0:09,1,42.5,1.156,41.4,50.4,0.265,17.66%,1.1520000000000001,245.1,1.3359999999999999,350.0,39.13,1.125,0.0,1559.1,1.7999999999999972,True,False,True
185017,19010570,5413000.0,10/15/15,FY103,G3188-001-110,0:09,2,44.3,1.167,40.7,50.6,0.264,15.69%,1.183,270.1,1.344,350.0,38.95,1.138,1559.1,1559.1,1.7999999999999972,True,False,True
185020,19010570,5413000.0,10/13/15,FY105,G3188-001-110,0:09,1,39.5,1.161,45.7,55.7,0.28600000000000003,16.89%,1.157,245.1,1.364,350.0,44.71,1.135,0.0,1562.0,1.2999999999999972,True,False,True
185021,19010570,5413000.0,10/15/15,FY105,G3188-001-110,0:09,2,40.8,1.166,42.7,50.8,0.26899999999999996,20.51%,1.171,256.8,1.3719999999999999,350.0,33.14,1.133,1562.0,1562.0,1.2999999999999972,True,False,True
185024,19010570,5413000.0,10/13/15,FY109,G3188-001-110,0:09,1,39.5,1.163,45.6,56.7,0.285,15.23%,1.175,266.8,1.3519999999999999,350.0,46.91,1.145,0.0,1563.7,1.3999999999999986,True,False,True
185025,19010570,5413000.0,10/15/15,FY109,G3188-001-110,0:09,2,40.9,1.1640000000000001,45.0,56.9,0.28600000000000003,13.77%,1.202,291.7,1.3419999999999999,350.0,49.46,1.162,1563.7,1563.7,1.3999999999999986,True,False,True
185026,19010570,5413000.0,10/13/15,FY110,G3188-001-110,0:09,1,39.5,1.163,45.7,56.8,0.28600000000000003,15.20%,1.176,265.1,1.3559999999999999,350.0,47.27,1.149,0.0,1566.8,1.1000000000000014,True,False,True
185027,19010570,5413000.0,10/15/15,FY110,G3188-001-110,0:09,2,40.6,1.17,45.0,56.8,0.285,13.85%,1.212,296.7,1.359,350.0,50.06,1.175,1566.8,1566.8,1.1000000000000014,True,False,True
185028,19010570,5413000.0,10/13/15,FY111,G3188-001-110,0:09,1,38.9,1.173,46.5,57.7,0.29100000000000004,14.97%,1.189,270.1,1.389,350.0,46.12,1.155,0.0,1565.1,1.7000000000000028,True,False,True
185029,19010570,5413000.0,10/15/15,FY111,G3188-001-110,0:09,2,40.6,1.172,46.3,59.0,0.29600000000000004,12.48%,1.218,298.4,1.3619999999999999,350.0,51.57,1.171,1565.1,1565.1,1.7000000000000028,True,False,True
185030,19010570,5413000.0,10/13/15,FY113,G3188-001-110,0:09,1,39.6,1.18,46.5,58.2,0.293,14.25%,1.2,271.7,1.411,350.0,47.77,1.169,0.0,1561.4,0.8999999999999986,True,False,True
185031,19010570,5413000.0,10/15/15,FY113,G3188-001-110,0:09,2,40.5,1.177,46.5,59.2,0.29600000000000004,12.61%,1.23,305.0,1.3840000000000001,350.0,51.12,1.179,1561.4,1561.4,0.8999999999999986,True,False,True
185032,19010570,5413000.0,10/13/15,FY114,G3188-001-110,0:09,1,39.5,1.176,47.2,59.6,0.298,13.14%,1.202,278.4,1.391,350.0,50.52,1.168,0.0,1563.5,1.1000000000000014,True,False,True
185033,19010570,5413000.0,10/15/15,FY114,G3188-001-110,0:09,2,40.6,1.1740000000000002,46.6,59.7,0.298,12.01%,1.234,311.7,1.3659999999999999,350.0,53.09,1.18,1563.5,1563.5,1.1000000000000014,True,False,True
185036,19010570,5413000.0,10/13/15,FY116,G3188-001-110,0:09,1,39.1,1.176,47.4,60.7,0.3,11.65%,1.224,298.3,1.379,350.0,54.08,1.179,0.0,1567.0,1.5,True,False,True
185037,19010570,5413000.0,10/15/15,FY116,G3188-001-110,0:09,2,40.6,1.171,46.4,59.6,0.297,11.74%,1.238,315.0,1.351,350.0,52.15,1.173,1567.0,1567.0,1.5,True,False,True
185040,19010570,5413000.0,10/13/15,FY119,G3188-001-110,0:09,1,37.7,1.171,48.6,62.5,0.305,11.16%,1.232,308.4,1.3619999999999999,350.0,56.18,1.1740000000000002,0.0,1568.6,1.7999999999999972,True,False,True
185041,19010570,5413000.0,10/15/15,FY119,G3188-001-110,0:09,2,39.5,1.172,47.6,61.6,0.303,10.89%,1.265,335.1,1.357,350.0,71.0,1.275,1568.6,1568.6,1.7999999999999972,True,False,True
185042,19010570,5413000.0,10/13/15,FY120,G3188-001-110,0:09,1,38.1,1.168,48.0,61.7,0.302,11.41%,1.225,306.7,1.35,350.0,55.82,1.173,0.0,1565.9,1.6000000000000014,True,False,True
185043,19010570,5413000.0,10/15/15,FY120,G3188-001-110,0:09,2,39.7,1.171,47.2,60.7,0.3,11.43%,1.258,333.4,1.3519999999999999,350.0,68.24,1.266,1565.9,1565.9,1.6000000000000014,True,False,True
185044,19010570,5413000.0,10/13/15,FY121,G3188-001-110,0:09,1,38.7,1.168,48.4,62.3,0.305,10.94%,1.226,306.7,1.349,350.0,57.18,1.175,0.0,1565.7,0.7999999999999972,True,False,True
185045,19010570,5413000.0,10/15/15,FY121,G3188-001-110,0:09,2,39.5,1.167,47.5,61.1,0.301,11.27%,1.253,331.7,1.34,350.0,69.15,1.263,1565.7,1565.7,0.7999999999999972,True,False,True
185048,19010570,5413000.0,10/13/15,FY123,G3188-001-110,0:09,1,38.3,1.181,48.7,62.7,0.307,10.94%,1.2570000000000001,320.0,1.399,350.0,56.98,1.188,0.0,1567.5,0.7000000000000028,True,False,True
185049,19010570,5413000.0,10/15/15,FY123,G3188-001-110,0:09,2,39.0,1.177,48.0,62.0,0.304,10.90%,1.28,341.7,1.3769999999999998,350.0,71.66,1.286,1567.5,1567.5,0.7000000000000028,True,False,True
185050,19010570,5413000.0,10/13/15,FY124,G3188-001-110,0:09,1,38.2,1.178,48.3,62.3,0.304,11.00%,1.251,318.4,1.389,350.0,57.37,1.189,0.0,1568.8,1.1999999999999957,True,False,True
185051,19010570,5413000.0,10/15/15,FY124,G3188-001-110,0:09,2,39.4,1.18,46.7,59.5,0.29600000000000004,12.83%,1.272,335.0,1.391,350.0,64.87,1.2790000000000001,1568.8,1568.8,1.1999999999999957,True,False,True
185052,19010570,5413000.0,10/13/15,FY125,G3188-001-110,0:09,1,38.1,1.1840000000000002,48.5,62.5,0.305,11.14%,1.256,315.1,1.412,350.0,69.1,1.268,0.0,1569.5,1.1999999999999957,True,False,True
185053,19010570,5413000.0,10/15/15,FY125,G3188-001-110,0:09,2,39.3,1.1840000000000002,47.8,61.6,0.303,11.38%,1.285,338.4,1.4069999999999998,350.0,71.07,1.2930000000000001,1569.5,1569.5,1.1999999999999957,True,False,True
185054,19010570,5413000.0,10/13/15,FY126,G3188-001-110,0:09,1,41.0,1.194,45.8,58.5,0.293,12.34%,1.2590000000000001,308.4,1.445,350.0,50.15,1.196,0.0,1570.1,0.29999999999999716,True,False,True
185055,19010570,5413000.0,10/15/15,FY126,G3188-001-110,0:09,2,41.3,1.19,45.5,58.7,0.293,11.64%,1.29,336.7,1.4240000000000002,350.0,66.67,1.2990000000000002,1570.1,1570.1,0.29999999999999716,True,False,True
185070,19010570,5413000.0,10/13/15,FY136,G3188-001-110,0:09,1,38.3,1.2209999999999999,49.4,63.8,0.312,10.71%,1.3259999999999998,335.0,1.55,350.0,72.45,1.335,0.0,1564.8,0.30000000000000426,True,False,True
185071,19010570,5413000.0,10/15/15,FY136,G3188-001-110,0:09,2,38.6,1.214,49.1,63.6,0.311,10.39%,1.3519999999999999,360.1,1.521,350.0,74.32,1.344,1564.8,1564.8,0.30000000000000426,True,False,True
185072,19010570,5413000.0,10/13/15,FY137,G3188-001-110,0:09,1,37.7,1.227,49.5,63.7,0.311,11.13%,1.331,333.3,1.5759999999999998,350.0,71.93,1.341,0.0,1566.6,0.3999999999999986,True,False,True
185073,19010570,5413000.0,10/15/15,FY137,G3188-001-110,0:09,2,38.1,1.222,49.4,63.6,0.311,10.93%,1.361,360.1,1.5519999999999998,350.0,73.97,1.3530000000000002,1566.6,1566.6,0.3999999999999986,True,False,True
185074,19010570,5413000.0,10/13/15,FY138,G3188-001-110,0:09,1,40.7,1.224,45.5,58.5,0.29100000000000004,11.62%,1.331,338.4,1.5590000000000002,350.0,65.51,1.338,0.0,1564.0,1.5,True,False,True
185075,19010570,5413000.0,10/15/15,FY138,G3188-001-110,0:09,2,42.2,1.222,44.9,58.0,0.29100000000000004,11.27%,1.3659999999999999,365.1,1.5419999999999998,350.0,67.09,1.3530000000000002,1564.0,1564.0,1.5,True,False,True
185559,19010570,5413000.0,10/13/15,HH131,G3188-001-110,0:09,1,38.2,1.217,47.5,59.3,0.29600000000000004,14.91%,1.268,296.7,1.5490000000000002,350.0,47.56,1.213,0.0,1558.0,1.5,True,False,True
185560,19010570,5413000.0,10/15/15,HH131,G3188-001-110,0:09,2,39.7,1.214,47.8,61.3,0.303,11.94%,1.304,328.3,1.5219999999999998,350.0,68.16,1.317,1558.0,1558.0,1.5,True,False,True
185561,19010570,5413000.0,10/13/15,HH132,G3188-001-110,0:09,1,38.7,1.218,48.8,61.9,0.307,12.50%,1.273,300.1,1.554,350.0,52.93,1.215,0.0,1564.8,1.0999999999999943,True,False,True
185562,19010570,5413000.0,10/15/15,HH132,G3188-001-110,0:09,2,39.8,1.218,48.3,62.0,0.307,11.68%,1.31,330.1,1.5419999999999998,350.0,69.12,1.3219999999999998,1564.8,1564.8,1.0999999999999943,True,False,True
185563,19010570,5413000.0,10/13/15,HH135,G3188-001-110,0:09,1,38.2,1.23,49.1,62.4,0.308,12.37%,1.304,313.4,1.594,350.0,66.22,1.319,0.0,1559.4,1.2999999999999972,True,False,True
185564,19010570,5413000.0,10/15/15,HH135,G3188-001-110,0:09,2,39.5,1.224,48.6,62.3,0.308,11.91%,1.325,335.1,1.5590000000000002,350.0,69.97,1.335,1559.4,1559.4,1.2999999999999972,True,False,True
185565,19010570,5413000.0,10/13/15,HH137,G3188-001-110,0:09,1,37.9,1.244,49.7,63.9,0.313,11.35%,1.349,331.7,1.636,350.0,71.9,1.3619999999999999,0.0,1562.4,0.5,True,False,True
185566,19010570,5413000.0,10/15/15,HH137,G3188-001-110,0:09,2,38.4,1.2309999999999999,49.6,64.0,0.313,10.74%,1.375,363.4,1.584,350.0,74.56,1.364,1562.4,1562.4,0.5,True,False,True
184422,19010570,5431000.0,11/06/15,FT663,G3188-001-110,0:09,1,42.9,1.173,45.9,58.9,0.298,12.15%,1.2309999999999999,308.4,1.351,350.0,56.85,1.2109999999999999,0.0,1560.9,1.3000000000000043,True,False,True
184423,19010570,5431000.0,11/07/15,FT663,G3188-001-110,0:09,2,44.2,1.162,42.5,52.5,0.278,17.65%,1.209,298.4,1.304,350.0,39.24,1.176,1560.9,1560.9,1.3000000000000043,True,False,True
184424,19010570,5431000.0,11/06/15,FT664,G3188-001-110,0:09,1,42.9,1.176,45.4,58.5,0.295,12.11%,1.255,326.7,1.349,350.0,64.6,1.266,0.0,1561.2,1.0,True,False,True
184425,19010570,5431000.0,11/07/15,FT664,G3188-001-110,0:09,2,43.9,1.169,45.4,59.2,0.298,10.64%,1.284,358.4,1.32,350.0,70.12,1.2790000000000001,1561.2,1561.2,1.0,True,False,True
184433,19010570,5431000.0,11/06/15,FT668,G3188-001-110,0:09,1,44.7,1.175,40.0,49.0,0.266,21.06%,1.222,301.3,1.348,350.0,32.94,1.194,0.0,1556.5,0.6999999999999957,True,False,True
184434,19010570,5431000.0,11/08/15,FT668,G3188-001-110,0:09,2,45.4,1.171,42.2,54.1,0.27899999999999997,14.34%,1.268,344.6,1.32,350.0,58.45,1.275,1556.5,1556.5,0.6999999999999957,True,False,True
184442,19010570,5431000.0,11/06/15,FT672,G3188-001-110,0:09,1,43.6,1.188,41.2,51.0,0.273,19.81%,1.304,353.0,1.385,350.0,48.99,1.3030000000000002,0.0,1558.0,0.30000000000000426,True,False,True
184443,19010570,5431000.0,11/08/15,FT672,G3188-001-110,0:09,2,43.3,1.186,36.0,44.2,0.258,27.56%,1.3090000000000002,358.0,1.3619999999999999,350.0,37.25,1.3019999999999998,1558.0,1558.0,0.30000000000000426,True,False,True
184476,19010570,5431000.0,10/27/15,FU086,G3188-001-110,0:09,1,42.0,1.165,45.9,58.3,0.295,13.15%,1.186,273.4,1.334,350.0,50.46,1.163,0.0,1558.9,1.8999999999999986,True,False,True
184477,19010570,5431000.0,10/29/15,FU086,G3188-001-110,0:09,2,43.9,1.1520000000000001,45.0,57.7,0.294,12.41%,1.192,293.4,1.27,350.0,51.07,1.153,1558.9,1558.9,1.8999999999999986,True,False,True
184579,19010570,5431000.0,11/06/15,FU154,G3188-001-110,0:09,1,42.7,1.216,43.1,54.2,0.27699999999999997,15.91%,1.369,374.8,1.514,350.0,58.55,1.347,0.0,1563.1,0.5999999999999943,True,False,True
184580,19010570,5431000.0,11/08/15,FU154,G3188-001-110,0:09,2,43.3,1.21,41.0,51.2,0.262,17.67%,1.361,371.5,1.489,350.0,53.53,1.341,1563.1,1563.1,0.5999999999999943,True,False,True
184971,19010570,5431000.0,11/06/15,FX668,G3188-001-110,0:09,1,46.2,1.183,41.5,52.1,0.27399999999999997,16.51%,1.247,313.0,1.3719999999999999,350.0,42.21,1.218,0.0,1556.5,0.8999999999999986,True,False,True
184972,19010570,5431000.0,11/08/15,FX668,G3188-001-110,0:09,2,47.1,1.183,39.3,48.9,0.261,18.59%,1.2590000000000001,323.0,1.368,350.0,36.39,1.212,1556.5,1556.5,0.8999999999999986,True,False,True
184998,19010570,5431000.0,11/06/15,FY082,G3188-001-110,0:09,1,43.7,1.172,40.8,48.5,0.268,23.07%,1.17,251.3,1.368,350.0,29.39,1.147,0.0,1560.0,1.0999999999999943,True,False,True
184999,19010570,5431000.0,11/08/15,FY082,G3188-001-110,0:09,2,44.8,1.179,36.0,42.4,0.248,28.81%,1.192,268.0,1.369,350.0,20.33,1.15,1560.0,1560.0,1.0999999999999943,True,False,True
185505,19010570,5431000.0,11/06/15,HH087,G3188-001-110,0:09,1,45.9,1.1740000000000002,38.0,43.7,0.248,25.61%,1.166,243.0,1.385,350.0,23.73,1.137,0.0,1570.2,1.5,True,False,True
185506,19010570,5431000.0,11/08/15,HH087,G3188-001-110,0:09:04,2,47.4,1.181,33.5,37.7,0.242,34.39%,1.1909999999999998,264.7,1.385,350.0,3.7,1.1320000000000001,1570.2,1570.2,1.5,True,False,True
184617,19010570,5381000.0,11/04/15,FV609,G3188-001-110,0:09,1,38.9,1.205,45.3,57.5,0.28800000000000003,14.64%,1.307,334.7,1.484,350.0,62.67,1.318,0.0,1568.9,0.29999999999999716,True,False,True
184618,19010570,5381000.0,11/06/15,FV609,G3188-001-110,0:09,2,38.6,1.2,43.5,55.3,0.27699999999999997,15.65%,1.34,363.0,1.465,350.0,61.91,1.3319999999999999,1568.9,1568.9,0.29999999999999716,True,False,True
184619,19010570,5381000.0,11/04/15,FV610,G3188-001-110,0:09,1,38.7,1.198,45.5,57.6,0.284,14.37%,1.2919999999999998,329.6,1.453,350.0,61.04,1.307,0.0,1565.6,0.20000000000000284,True,False,True
184620,19010570,5381000.0,11/05/15,FV610,G3188-001-110,0:09,2,38.5,1.194,44.2,55.7,0.275,15.01%,1.307,343.0,1.442,350.0,58.98,1.315,1565.6,1565.6,0.20000000000000284,True,False,True
184625,19010570,5381000.0,11/04/15,FV613,G3188-001-110,0:09,1,39.8,1.199,43.2,54.0,0.281,18.22%,1.288,327.9,1.45,350.0,49.65,1.2930000000000001,0.0,1570.4,0.6000000000000014,True,False,True
184626,19010570,5381000.0,11/06/15,FV613,G3188-001-110,0:09,2,40.4,1.189,44.7,57.7,0.285,12.59%,1.335,369.7,1.419,350.0,67.61,1.321,1570.4,1570.4,0.6000000000000014,True,False,True
184631,19010570,5381000.0,11/04/15,FV617,G3188-001-110,0:09,1,38.5,1.193,49.9,65.0,0.316,9.71%,1.2990000000000002,336.7,1.444,350.0,75.82,1.306,0.0,1570.5,0.29999999999999716,True,False,True
184632,19010570,5381000.0,11/06/15,FV617,G3188-001-110,0:09,2,38.8,1.192,49.6,64.5,0.315,9.78%,1.3419999999999999,370.1,1.439,350.0,78.18,1.324,1570.5,1570.5,0.29999999999999716,True,False,True
184633,19010570,5381000.0,11/04/15,FV618,G3188-001-110,0:09,1,38.6,1.182,50.0,65.2,0.318,9.55%,1.276,330.0,1.399,350.0,76.07,1.287,0.0,1570.6,0.6000000000000014,True,False,True
184634,19010570,5381000.0,11/06/15,FV618,G3188-001-110,0:09,2,39.2,1.18,49.1,63.8,0.313,10.13%,1.315,365.1,1.392,350.0,76.17,1.304,1570.6,1570.6,0.6000000000000014,True,False,True
184637,19010570,5381000.0,11/04/15,FV620,G3188-001-110,0:09,1,38.7,1.173,49.5,64.5,0.313,9.37%,1.2670000000000001,331.7,1.3659999999999999,350.0,60.01,1.186,0.0,1569.6,1.8999999999999986,True,False,True
184638,19010570,5381000.0,11/06/15,FV620,G3188-001-110,0:09,2,40.6,1.18,48.3,63.0,0.311,9.98%,1.314,361.8,1.3869999999999998,350.0,75.54,1.305,1569.6,1569.6,1.8999999999999986,True,False,True
184639,19010570,5381000.0,11/04/15,FV621,G3188-001-110,0:09,1,38.3,1.177,49.0,63.1,0.309,11.07%,1.2590000000000001,321.7,1.3840000000000001,350.0,56.05,1.186,0.0,1569.9,1.1000000000000014,True,False,True
184640,19010570,5381000.0,11/06/15,FV621,G3188-001-110,0:09,2,39.4,1.178,48.9,63.6,0.312,9.99%,1.305,356.8,1.386,350.0,76.0,1.3,1569.9,1569.9,1.1000000000000014,True,False,True
184641,19010570,5381000.0,11/04/15,FV623,G3188-001-110,0:09,1,38.1,1.173,49.4,64.0,0.311,10.35%,1.26,328.4,1.364,350.0,58.9,1.185,0.0,1566.4,1.8999999999999986,True,False,True
184642,19010570,5381000.0,11/06/15,FV623,G3188-001-110,0:09,2,40.0,1.1840000000000002,47.7,61.4,0.304,11.68%,1.2930000000000001,341.7,1.4040000000000001,350.0,69.44,1.2990000000000002,1566.4,1566.4,1.8999999999999986,True,False,True
184643,19010570,5381000.0,11/04/15,FV624,G3188-001-110,0:09,1,40.6,1.167,43.9,55.2,0.27699999999999997,15.28%,1.21,293.0,1.345,350.0,40.85,1.149,0.0,1556.8,0.3999999999999986,True,False,True
184644,19010570,5381000.0,11/05/15,FV624,G3188-001-110,0:09,2,41.0,1.166,40.7,50.9,0.267,19.23%,1.2309999999999999,314.7,1.328,350.0,35.04,1.159,1556.8,1556.8,0.3999999999999986,True,False,True
184649,19010570,5381000.0,11/04/15,FV627,G3188-001-110,0:09,1,37.9,1.177,41.9,52.2,0.268,19.35%,1.229,301.3,1.3769999999999998,350.0,37.76,1.1540000000000001,0.0,1560.9,1.3999999999999986,True,False,True
184650,19010570,5381000.0,11/06/15,FV627,G3188-001-110,0:09,2,39.3,1.1740000000000002,42.6,53.7,0.26899999999999996,16.17%,1.2590000000000001,329.6,1.36,350.0,54.32,1.2670000000000001,1560.9,1560.9,1.3999999999999986,True,False,True
184659,19010570,5381000.0,11/04/15,FV632,G3188-001-110,0:09,1,39.2,1.161,40.9,47.0,0.261,26.83%,1.16,251.3,1.365,350.0,22.0,1.124,0.0,1566.8,0.5,True,False,True
184660,19010570,5381000.0,11/06/15,FV632,G3188-001-110,0:09,2,39.7,1.165,37.2,44.9,0.262,28.85%,1.198,289.7,1.335,350.0,26.69,1.138,1566.8,1566.8,0.5,True,False,True
184661,19010570,5381000.0,11/04/15,FV633,G3188-001-110,0:09,1,37.8,1.175,48.9,61.9,0.306,12.73%,1.2,276.7,1.39,350.0,51.65,1.158,0.0,1567.6,1.1000000000000014,True,False,True
184662,19010570,5381000.0,11/06/15,FV633,G3188-001-110,0:09,2,38.9,1.172,48.6,62.4,0.307,11.21%,1.232,310.0,1.364,350.0,55.5,1.17,1567.6,1567.6,1.1000000000000014,True,False,True
184663,19010570,5381000.0,11/04/15,FV634,G3188-001-110,0:09,1,38.0,1.172,48.9,62.1,0.307,12.39%,1.196,275.1,1.381,350.0,51.86,1.155,0.0,1567.4,1.6000000000000014,True,False,True
184664,19010570,5381000.0,11/06/15,FV634,G3188-001-110,0:09,2,39.6,1.178,48.0,61.5,0.304,11.66%,1.234,305.1,1.389,350.0,54.03,1.178,1567.4,1567.4,1.6000000000000014,True,False,True
184665,19010570,5381000.0,11/04/15,FV635,G3188-001-110,0:09,1,37.5,1.173,48.8,61.5,0.304,13.22%,1.195,275.1,1.389,350.0,51.75,1.159,0.0,1564.5,1.7000000000000028,True,False,True
184666,19010570,5381000.0,11/06/15,FV635,G3188-001-110,0:09,2,39.2,1.1740000000000002,47.8,60.8,0.302,12.46%,1.222,300.1,1.3719999999999999,350.0,52.47,1.172,1564.5,1564.5,1.7000000000000028,True,False,True
184673,19010570,5381000.0,11/04/15,FV639,G3188-001-110,0:09:04,1,38.8,1.1420000000000001,33.1,33.3,0.252,47.83%,1.14,236.4,1.358,350.0,3.24,1.1059999999999999,0.0,1557.1,1.6000000000000014,True,False,True
184674,19010570,5381000.0,11/06/15,FV639,G3188-001-110,0:09,2,40.4,1.162,41.7,50.2,0.263,20.86%,1.169,263.0,1.348,350.0,31.45,1.123,1557.1,1557.1,1.6000000000000014,True,False,True
184685,19010570,5381000.0,11/04/15,FV646,G3188-001-110,0:09,1,38.7,1.159,47.6,58.6,0.297,15.69%,1.157,248.4,1.35,350.0,47.54,1.137,0.0,1565.1,1.3999999999999986,True,False,True
184686,19010570,5381000.0,11/06/15,FV646,G3188-001-110,0:09,2,40.1,1.167,47.2,60.0,0.3,12.74%,1.193,278.4,1.358,350.0,50.74,1.153,1565.1,1565.1,1.3999999999999986,True,False,True
184687,19010570,5381000.0,11/04/15,FV647,G3188-001-110,0:09,1,39.1,1.153,47.6,57.9,0.297,16.95%,1.149,245.1,1.339,350.0,46.58,1.131,0.0,1562.4,1.1999999999999957,True,False,True
184688,19010570,5381000.0,11/06/15,FV647,G3188-001-110,0:09,2,40.3,1.1640000000000001,47.5,60.0,0.301,13.35%,1.1840000000000002,275.1,1.344,350.0,50.74,1.147,1562.4,1562.4,1.1999999999999957,True,False,True
184689,19010570,5381000.0,11/04/15,FV648,G3188-001-110,0:09,1,38.5,1.158,47.7,57.9,0.297,17.10%,1.1520000000000001,241.8,1.3659999999999999,350.0,47.41,1.141,0.0,1563.8,1.2999999999999972,True,False,True
184690,19010570,5381000.0,11/06/15,FV648,G3188-001-110,0:09,2,39.8,1.158,47.3,59.3,0.299,14.21%,1.166,261.7,1.325,350.0,48.4,1.133,1563.8,1563.8,1.2999999999999972,True,False,True
184691,19010570,5381000.0,11/04/15,FV649,G3188-001-110,0:09,1,39.6,1.158,47.2,56.9,0.295,17.93%,1.153,243.4,1.359,350.0,46.37,1.141,0.0,1560.9,1.2999999999999972,True,False,True
184692,19010570,5381000.0,11/06/15,FV649,G3188-001-110,0:09,2,40.9,1.157,46.9,59.0,0.299,13.97%,1.172,268.4,1.317,350.0,49.36,1.139,1560.9,1560.9,1.2999999999999972,True,False,True
184693,19010570,5381000.0,11/04/15,FV650,G3188-001-110,0:09,1,38.8,1.153,47.3,57.1,0.294,17.68%,1.148,241.7,1.344,350.0,46.31,1.135,0.0,1562.2,1.6000000000000014,True,False,True
184694,19010570,5381000.0,11/06/15,FV650,G3188-001-110,0:09,2,40.4,1.156,47.2,59.6,0.299,13.48%,1.169,266.8,1.3090000000000002,350.0,49.99,1.136,1562.2,1562.2,1.6000000000000014,True,False,True
184699,19010570,5381000.0,11/03/15,FW095,G3188-001-110,0:09,1,41.6,1.13,44.9,54.0,0.28300000000000003,18.27%,1.12,233.0,1.245,350.0,43.72,1.1,0.0,1560.0,1.8999999999999986,True,False,True
184700,19010570,5381000.0,11/06/15,FW095,G3188-001-110,0:09,2,43.5,1.14,44.0,55.5,0.28300000000000003,14.54%,1.1440000000000001,256.3,1.237,350.0,44.75,1.107,1560.0,1560.0,1.8999999999999986,True,False,True
184701,19010570,5381000.0,11/03/15,FW097,G3188-001-110,0:09,1,40.7,1.135,44.5,53.5,0.28,18.66%,1.127,238.1,1.263,350.0,42.65,1.102,0.0,1563.1,1.7999999999999972,True,False,True
184702,19010570,5381000.0,11/06/15,FW097,G3188-001-110,0:09,2,42.5,1.1420000000000001,42.7,51.6,0.271,18.64%,1.138,246.4,1.272,350.0,36.82,1.1,1563.1,1563.1,1.7999999999999972,True,False,True
184705,19010570,5381000.0,11/03/15,FW099,G3188-001-110,0:09,1,41.4,1.135,43.8,53.5,0.276,17.61%,1.129,243.0,1.247,350.0,41.64,1.099,0.0,1558.1,1.8999999999999986,True,False,True
184706,19010570,5381000.0,11/06/15,FW099,G3188-001-110,0:09,2,43.3,1.14,42.4,52.3,0.27399999999999997,17.68%,1.148,261.3,1.237,350.0,37.84,1.103,1558.1,1558.1,1.8999999999999986,True,False,True
184707,19010570,5381000.0,11/04/15,FW100,G3188-001-110,0:09,1,40.1,1.175,47.0,57.2,0.297,16.84%,1.168,241.7,1.415,350.0,44.65,1.151,0.0,1560.5,1.0,True,False,True
184708,19010570,5381000.0,11/06/15,FW100,G3188-001-110,0:09,2,41.1,1.182,46.8,59.6,0.3,12.95%,1.2109999999999999,280.1,1.402,350.0,49.13,1.167,1560.5,1560.5,1.0,True,False,True
184715,19010570,5381000.0,11/04/15,FW104,G3188-001-110,0:09,1,38.8,1.1840000000000002,47.4,58.5,0.29600000000000004,15.54%,1.185,251.8,1.4469999999999998,350.0,46.89,1.165,0.0,1562.4,1.8000000000000043,True,False,True
