Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
CFB0892,G1752-204-030,70.04,16.70899,25.55,0.2,10.56,49.6,-0.06,0.01,9.762,3943.7,51.5,53.1,42.2,64.2,310.49,615.4,0.9,
CFB2609,G1752-204-020,80.05,13.79472,25.18,0.157,10.51,48.51,-0.03,0.01,9.921,3943,52.5,53.9,41.6,71.1,353.83,410.8,0.8,
CFB3271,G1752-204-020,86.8,19.85129,24.56,0.154,10.55,49.19,-0.13,0.16,10.188,3939.9,53.2,53.1,40.9,67.6,372.24,434.6,0.7,
CFAE208,G1752-204-024,60.29,16.20112,24.08,0.235,10.51,43.55,-0.09,0.01,10.424,3944.7,52.2,53.8,42.9,71.8,339.7,364.3,0.7,
CFA7771,G1752-204-024,64.21,13.45212,28.22,0.205,10.5,55.44,-0.01,0.1,8.773,3981.2,52.5,53.8,40.6,69.9,369.84,588.3,1.1,
CFB1145,G1752-204-024,59.29,15.20035,21.4,0.234,10.51,42.11,-0.07,0.04,11.771,3946.9,53.2,54.1,39.6,72.6,388.45,354.2,0.8,
CFB0314,G1752-204-024,56.96,12.8206,27.14,0.234,10.55,47.16,-0.07,0,9.197,3980.1,52.5,54,41.7,71.8,344.01,566,0.7,
CFB0318,G1752-204-024,59.96,13.57141,26.58,0.223,10.55,49.41,-0.16,0.05,9.417,3976.2,52.5,53.5,41.2,71.4,363.26,329.5,0.8,
CFB2601,G1752-204-020,84.81,16.13108,26.61,0.152,10.52,51.33,-0.1,0.06,9.307,3940.1,52.5,53.6,40.7,69.4,354.8,778.8,0.7,
CFB1090,G1752-204-021,74.05,19.93802,34.18,0.194,10.51,44.29,-0.04,0.08,6.728,3936.5,52,52.9,42.4,71.1,348.5,372.6,1.05,
CFB2633,G1752-204-020,95.06,17.3868,22.78,0.136,10.51,45.62,0,0.26,11.034,3940.4,52.7,54.3,40.4,67.1,373,623.1,0.74,
CFB1791,G1752-204-020,78.29,18.17928,27.98,0.173,10.52,51.18,-0.1,0.13,8.771,3941.8,52.2,53.4,41.1,73.3,369.9,594.6,0.8,
CFB1799,G1752-204-020,68.54,19.11857,25.23,0.21,10.55,50,-0.05,0.04,9.9,3943.3,52.3,53.4,41.9,72.4,322.67,447.4,0.7,
CFB2628,G1752-204-020,79.79,15.27711,27.91,0.161,10.51,49.66,-0.08,0.11,8.817,3949.8,52.3,53.1,42.6,65.2,344.22,626.9,0.8,
CFB2619,G1752-204-020,79.3,13.82955,27.51,0.154,10.5,51.29,-0.08,0.04,8.964,3946.5,52,53.6,40.9,67.1,375.92,680.9,0.85,
CFAG230,G1752-204-033,58.03,16.11461,28.69,0.245,10.5,46.96,-0.12,0.05,8.519,3948,52.5,53.4,42.1,72.3,367.08,530.6,0.7,
CEJN497,G1752-204-038,66.8,16.77123,32.4,0.206,10.5,45.48,-0.13,0.1,7.275,3952.3,52.5,53.3,41.7,72.4,356.78,361,0.8,
CFAG544,G1752-204-029,68.54,15.52099,24.82,0.196,10.55,49.41,-0.03,0,10.107,3951.4,52.7,53.3,42.9,72.6,319.46,440.9,0.7,
CFA4630,G1752-204-020,65.04,16.0789,25.43,0.21,10.51,47.91,-0.07,0.1,9.805,3940.7,53.4,53.8,41.6,72.1,386.61,421.4,0.7,
CFB1780,G1752-204-020,70.8,17.98097,27.06,0.198,10.54,53.15,-0.01,0.05,9.122,3938.8,52.7,53.6,41.9,70.8,339.26,423.1,0.8,
CFB1782,G1752-204-020,73.55,17.72012,28.21,0.185,10.53,48.27,-0.13,0,8.699,3948.3,53,53.6,42.4,70.8,351.27,646.6,0.8,
CFB0365,G1752-204-029,77.55,12.67506,29.16,0.161,10.52,49.65,-0.06,0,8.337,3943.2,53.2,54.1,40.9,72.3,368.2,539.6,0.7,
CFAE204,G1752-204-024,59.22,13.45335,23.75,0.229,10.56,55.26,-0.18,0.08,10.65,3965.6,52.7,54.1,42.4,67.1,340.82,639.4,1.23,
CFB0415,G1752-204-029,70.54,14.14298,26.96,0.183,10.5,46.64,-0.03,0.02,9.174,3943.4,52.4,53.3,41.6,71.9,366.07,376,1.03,
CFAG668,G1752-204-029,70.54,14.69161,23.83,0.184,10.52,50.63,-0.11,0.08,10.571,3953.5,52.5,53.3,42.2,72.4,388.37,486,0.84,
CFB0173,G1752-204-021,62.03,15.70771,25.11,0.221,10.51,50.3,-0.01,0.15,9.961,3946,52.5,53.4,41.4,71.4,369.8,282.8,0.8,
CFB0175,G1752-204-021,69.78,18.67473,22.8,0.201,10.52,48.06,-0.03,0.01,11.028,3941.5,53.5,54,40.9,71.9,376.3,339.4,0.7,
CFB1063,G1752-204-021,69.53,21.81883,34.36,0.216,10.51,46.12,-0.05,0.08,6.685,3941.9,53,53.3,42.6,71.9,340.83,390.7,0.7,
CFAE409,G1752-204-029,68.55,16.99925,25.73,0.2,10.51,51.06,-0.06,0.08,9.661,3935.5,52.4,53.1,41.9,70.8,353.1,729.3,0.6,
CFB0270,G1752-204-024,65.29,16.43187,28.94,0.213,10.57,49.43,0,0.05,8.44,3953.8,52.5,53,40.9,71.3,362.14,464.1,0.7,
CFB0269,G1752-204-024,57.54,15.32322,25.22,0.248,10.53,48.88,-0.01,0.03,9.907,3944.2,52.7,53.6,42.6,71.6,326.88,449.6,0.7,
CFB0178,G1752-204-021,60.79,15.0513,24.36,0.223,10.5,50.6,-0.02,0.03,10.278,3939.5,53,53.6,41.7,74,345.53,326.3,0.7,
CFB1801,G1752-204-020,68.29,17.51732,27.67,0.205,10.51,51.54,-0.07,0.07,8.893,3943,52.5,53.5,41.9,72.5,352.64,438.8,0.8,
CFB1788,G1752-204-020,74.55,18.84619,27.98,0.187,10.51,51.66,-0.08,0.06,8.771,3941.8,52,52.8,41.9,72,341.12,653.3,1,
CFB2622,G1752-204-020,78.05,15.92834,25.99,0.169,10.51,52.89,-0.08,0.05,9.577,3944.7,52,53.6,41.6,63.9,371.28,808.9,0.9,
CFB1093,G1752-204-021,74.37,17.0446,34.03,0.182,10.53,51.85,-0.02,0.03,6.81,3964.7,51.5,52.6,42.2,68.1,348.77,389.7,1.43,
CFB0974,G1752-204-029,68.31,15.14651,31.02,0.195,10.54,53.15,-0.06,0.02,7.721,3955.7,51.9,52.9,42.6,68.6,335.8,403.1,1.03,
CFB1859,G1752-204-022,63.05,17.22333,31.16,0.226,10.55,56.57,-0.04,0,7.65,3942,52.3,53.6,41.7,69.4,332.2,514.1,1.11,
CFB1102,G1752-204-024,63.78,17.5466,28.5,0.224,10.55,50.37,-0.13,0.13,8.596,3950.9,52.5,53.2,41.4,71.2,333.22,442.6,1.13,
CFB1762,G1752-204-020,69.7,16.94353,28.91,0.196,10.51,55.94,-0.14,0.1,8.442,3949.7,52.5,53.1,41.7,69.9,329.28,590,1.02,
CFB1933,G1752-204-022,64.8,15.79056,28.09,0.212,10.52,57.62,-0.06,0.01,8.744,3948.1,52.5,53.2,41.7,68.4,342.53,382.8,1.15,
CFB1680,G1752-204-020,73.82,17.98171,28.67,0.186,10.53,49.13,-0.04,0.03,8.517,3943.9,53.1,53.2,41.4,70.9,335.76,275.3,1.07,
CFB1768,G1752-204-020,72.07,16.69786,24.57,0.187,10.52,52.31,-0.07,0.05,10.21,3948.2,52.8,53.4,41.6,70.1,320.85,513.9,1.05,
CFB1771,G1752-204-020,90.56,15.98629,28.41,0.135,10.52,59.89,-0.08,0.03,8.629,3950.6,52.5,53.6,40.6,69.7,347.54,494.5,1.02,
CFB1095,G1752-204-021,67.55,19.53156,30.31,0.22,10.5,52.19,-0.09,0.16,7.955,3953.4,52.2,52.9,41.7,63.9,336.34,190.4,1.12,
CFAG493,G1752-204-021,61.45,18.45981,27.85,0.239,10.53,44.52,-0.04,0.04,8.893,3971.5,52.5,53.6,41.7,70.8,334.1,311.2,1,
CFB1806,G1752-204-020,76.47,18.08791,28.29,0.177,10.52,50.26,-0.07,0.06,8.735,3976.5,52,53.5,41.9,71.4,339.9,511.1,0.7,
CFB2620,G1752-204-020,72.97,16.19744,24.59,0.182,10.53,50.21,-0.03,0.03,10.276,3971.8,52.5,53.8,41.9,71.9,325.16,322.7,0.6,
CFB0367,G1752-204-029,71.72,13.08089,29.6,0.178,10.51,53.18,-0.06,0.06,8.26,3981,52.4,54.1,42.7,69.8,334.46,325.2,0.7,
CFAG209,G1752-204-054,71.54,16.13321,25.37,0.177,10.51,50.56,-0.1,0.06,9.802,3930.9,51.3,52.4,44.1,63.5,334.4,398.5,1.4,
CELH423,G1752-204-059,53.21,11.79133,31.15,0.249,10.56,51.77,-0.15,0.1,7.745,3991.9,52.4,53.3,43.6,71.3,343.03,492.1,1,
CFAG666,G1752-204-029,62.71,17.76429,25,0.232,10.53,51.56,-0.04,0.05,10.089,3971.7,52.5,53.6,43.2,70.9,323.57,318.7,1,
CFB0949,G1752-204-029,71.97,15.90804,29.26,0.183,10.53,50.69,-0.08,0.02,8.375,3977.3,52.2,53.3,41.9,68.4,353.84,447.4,1.1,
CFB1845,G1752-204-020,70.22,16.03051,27.8,0.195,10.55,45.45,-0.03,0.07,8.928,3977.8,52.2,53.1,41.9,68.9,318.24,435.1,0.8,
CFB1835,G1752-204-020,74.98,17.42701,27.24,0.182,10.52,47.35,-0.06,0.1,9.157,3980.3,52.5,54,42.2,70.4,319.81,479.1,0.8,
CFB1059,G1752-204-021,61.22,15.14424,33.35,0.226,10.55,50.25,-0.11,0.08,7.061,3999.8,52.5,53.6,42.2,71,332.88,263.6,0.8,
CFB1069,G1752-204-021,70.47,18.46605,33.84,0.206,10.53,47.04,-0.04,0.12,6.917,4000.9,51.8,53.1,43.9,66.1,345.07,311.4,1.5,
CFAG224,G1752-204-054,67.8,12.95875,22.6,0.187,10.53,51.02,-0.04,0,11.155,3948.8,52.5,53.5,43.7,71.3,322.53,351.8,0.8,
CFAF128,G1752-204-059,63.05,13.58001,28.35,0.211,10.54,51.17,-0.06,0.03,8.627,3940,52.7,54,42.9,70.8,358.56,417.7,1.1,
CFB1047,G1752-204-026,68.8,18.62696,32.41,0.203,10.51,59.23,-0.03,0.04,7.275,3954.2,52.1,52.9,43.1,67.8,322.97,503.8,0.98,
CFB1092,G1752-204-021,66.31,18.33307,30.44,0.213,10.55,52.58,-0.03,0.03,7.915,3955.6,52.6,52.9,40.7,71.4,360.42,481.1,1.15,
CFB1056,G1752-204-021,64.05,15.92575,31.59,0.215,10.54,46.41,-0.1,0.01,7.525,3949.7,51.9,53.1,42.4,70.6,334.49,190.1,1,
CFAG612,G1752-204-029,63.98,14.90212,24.62,0.212,10.54,51.5,-0.04,0.02,10.278,3976.7,52.4,53.5,43.2,70.3,326.8,261.6,0.7,
CFB1893,G1752-204-022,58.3,15.51332,25.85,0.233,10.54,51.7,-0.14,0.04,9.624,3940.4,52.6,53.2,40.6,70.4,362.84,278,1.01,
CFB0364,G1752-204-029,71.47,15.82868,27.47,0.186,10.5,49.78,-0.04,0.06,9.049,3974.1,52.4,53.6,43.1,71.4,340.07,447.4,0.7,
CFB1942,G1752-204-022,63.29,13.43694,30.02,0.209,10.53,56.66,-0.06,0.03,8.054,3953,51.9,53.1,42.2,67.8,317.77,530.3,1.06,
CFAE465,G1752-204-031,61.97,11.43461,21.94,0.206,10.53,48.24,-0.06,0.02,11.591,3973.6,52.4,53.6,42.6,73,328.5,210.5,1.2,
CFB1932,G1752-204-022,83.55,21.73582,32.89,0.169,10.51,51.99,-0.09,0.05,7.116,3946,52.3,53.1,41.6,70.6,315.51,739.9,1.29,
CFB0139,G1752-204-058,66.2,13.84559,26.09,0.198,10.51,49.77,-0.01,0.13,9.56,3953.6,52.4,53.5,42.9,72.3,355.69,680.9,1.1,
CFB1135,G1752-204-024,69.55,17.52173,28.68,0.197,10.51,50.45,0,0.05,8.518,3945.9,52.5,53.8,42.2,71.3,354.15,384.3,1,
CFB1032,G1752-204-029,55.79,16.17649,30.85,0.253,10.53,51.49,-0.03,0.01,7.751,3941.7,52.4,53.2,41.2,68.1,357.03,395.2,1.11,
CFB1826,G1752-204-020,64.8,19.45362,27.34,0.225,10.52,50.62,-0.1,0.02,9.038,3949.4,52.2,52.8,43.2,68.5,311.52,348.9,0.7,
CFA9342,G1752-204-020,69.55,13.34863,27.23,0.186,10.51,48.25,-0.06,0.03,9.079,3948.3,52.5,53.8,41.9,68.6,350.53,618.6,1,
CFB1855,G1752-204-022,58.31,13.91191,25.44,0.235,10.5,57.51,-0.03,0.01,9.823,3948.2,52.5,53.6,41.4,69.2,340.91,473,0.97,
CELK813,G1752-204-029,66.03,17.35997,26.99,0.21,10.51,52.26,-0.14,0.04,9.168,3945.7,52.5,53.6,40.4,73.3,355.34,375.6,0.7,
CFB1890,G1752-204-022,62.56,16.91892,31.51,0.224,10.52,56.38,-0.03,0.03,7.553,3951.1,52.1,52.9,42.2,68.6,316.85,220.3,1.07,
CFB1857,G1752-204-022,55.04,14.98271,26.27,0.255,10.5,52.15,-0.05,0.08,9.452,3941.9,52.4,53.8,42.2,70.9,317.99,324.5,1.05,
CFB1082,G1752-204-021,82.3,22.21985,33.77,0.175,10.55,48.44,-0.08,0,6.851,3941.3,52.7,53.8,42.7,67.1,338.28,508.2,0.6,
CFB1118,G1752-204-024,69.73,17.9808,29.35,0.201,10.5,47.53,-0.17,0.04,8.337,3974.9,52.4,53.6,42.7,70.3,314.99,693.1,0.7,
CFB0330,G1752-204-024,68.23,18.70495,28.45,0.207,10.5,51.5,-0.07,0.05,8.662,3971.3,52.5,53.8,42.4,72.1,346.93,451.5,0.6,
CFAG553,G1752-204-029,70.48,14.66622,26.42,0.188,10.52,52.29,-0.06,0.04,9.442,3960.9,51.8,53.5,42.1,69,311.38,368.1,0.5,
CFB0397,G1752-204-029,70.21,12.75795,30.06,0.182,10.54,51.66,-0.02,0.03,8.087,3976.2,52.7,54.1,42.2,67.8,323.99,500.6,1.3,
CFB0101,G1752-204-058,63.22,13.60859,25.69,0.208,10.51,51.08,-0.08,0.08,9.751,3960.6,52,53.1,44.1,72.1,360.56,634.5,1.1,
CFB1686,G1752-204-020,71.8,17.71644,27.58,0.188,10.51,52.36,-0.11,0.1,8.939,3947.5,51.6,52.4,41.7,70.6,338.55,241.3,0.95,
CFAC891,G1752-204-020,81.3,20.14477,27.84,0.17,10.51,45.83,-0.23,0.25,8.845,3950.3,52.2,52.5,42.6,69.9,359.08,553.5,0.6,
CFB1705,G1752-204-020,75.48,19.63264,28.11,0.187,10.53,55.35,-0.05,0.02,8.741,3950,51.8,52.9,41.7,69.7,342.26,554.3,1.19,
CFB1127,G1752-204-024,70.46,17.96124,29.47,0.192,10.5,49.52,-0.2,0.02,8.301,3978.3,52.5,53.6,41.6,67.2,343.16,409.5,0.6,
CFB0348,G1752-204-024,78.46,18.95212,28.96,0.177,10.54,50.44,-0.16,0.17,8.481,3975.5,52.5,53.6,42.4,68.1,339.61,612.6,1.1,
CFB2597,G1752-204-020,76.8,16.97118,27.29,0.175,10.53,52.05,-0.12,0.06,9.045,3944.3,52.5,53.2,41.6,67.5,327.74,419.6,1.01,
CFB1097,G1752-204-024,60.21,14.64226,29.64,0.227,10.52,44.12,-0.05,0.02,8.26,3987.8,53,54.1,41.7,72.9,335.92,407,1.1,
CFB2571,G1752-204-020,82.06,19.15993,25.28,0.164,10.54,55,-0.09,0.08,9.857,3936.2,52.3,52.7,41.9,70.3,335.57,558.6,1,
CFB1108,G1752-204-024,59.09,16.73816,29.82,0.243,10.54,56.35,-0.01,0.12,8.113,3947.8,52.3,53.1,42.1,70.9,310.55,415.2,1.06,
CFB1136,G1752-204-024,72.04,17.31178,28,0.187,10.53,50.76,-0.07,0.02,8.773,3945.9,52.3,53,41.8,71.6,379.65,534.1,0.7,
CFB0334,G1752-204-024,74.48,18.35958,29.55,0.186,10.5,48.59,-0.05,0,8.292,3987.6,52,53.2,42.8,67.4,339.09,756.8,0.7,
CFAD243,G1752-204-024,71.72,19.02365,27.41,0.198,10.52,50.23,-0.04,0.02,9.075,3974.9,51.8,52.7,43.2,70.3,326.62,619.9,0.7,
CFB0320,G1752-204-024,63.54,15.75735,27.52,0.216,10.51,43.73,-0.1,0.12,8.962,3947.3,52.3,53.4,41.7,72.6,370.81,457.8,0.7,
CFB1836,G1752-204-020,76.98,18.79905,26.42,0.18,10.54,51.24,0,0.17,9.484,3976.2,52.2,53.5,42.7,69.4,313.57,564.4,0.7,
CFB0272,G1752-204-024,65.8,15.41263,29.68,0.207,10.54,50.9,-0.05,0.13,8.155,3944.5,52,53.5,41.6,70.3,348.5,559.5,0.6,
CFB1842,G1752-204-020,79.73,16.94982,28.22,0.163,10.5,48.59,-0.16,0.06,8.769,3979.5,51.5,52.7,42.5,69,342.73,523,0.7,
CFB0336,G1752-204-024,75.31,18.15728,30.55,0.183,10.52,50.79,-0.04,0.03,7.876,3954.7,52.7,53.6,41.6,69.8,349.13,801.2,0.6,
CFB0259,G1752-204-024,60.04,15.01771,26.31,0.229,10.53,48.63,-0.11,0.12,9.443,3944.7,52.8,53.5,41.6,72.8,358.65,366.4,0.7,
CFB2626,G1752-204-020,88.98,19.43055,27.35,0.156,10.54,51.55,-0.04,0.04,9.088,3970.6,52.2,53.2,43.2,63,314.39,418.1,1,
CFB0266,G1752-204-024,64.04,16.82716,28.54,0.218,10.5,42.22,-0.08,0.05,8.583,3951.7,52.4,53.3,41.9,72.6,361.22,346.9,0.6,
CFAG549,G1752-204-029,77.06,16.18618,24.53,0.17,10.5,49.4,-0.05,0.07,10.242,3952.5,52.4,53.5,43.1,72.3,321.23,442.4,0.6,
CFB2635,G1752-204-020,74.72,19.77867,28.61,0.189,10.5,45.21,-0.03,0.02,8.618,3978.4,52.3,53.2,43,71.7,372.41,444.4,1,
CFAG535,G1752-204-029,76.05,14.06123,29.1,0.167,10.51,49.17,-0.16,0.06,8.374,3950.2,52.3,53.5,41.8,72.6,366.86,563.8,0.7,
CFB0307,G1752-204-024,70.04,15.54096,26.18,0.19,10.52,51.88,-0.09,0.01,9.494,3943.5,52.2,52.9,41.6,70.6,386.29,675.5,0.5,
CFA0200,G1752-204-036,77.31,14.54259,21.96,0.167,10.53,51.54,-0.13,0,11.471,3945.8,52.3,53.6,42.7,71.1,384.95,264.5,0.7,
CFAG488,G1752-204-021,66.79,18.35719,28.31,0.211,10.51,54.71,-0.09,0,8.663,3949,52.5,52.7,41.7,70.1,377.24,312.1,1.1,
CFB1838,G1752-204-020,73.97,17.9409,26.74,0.185,10.52,48.15,-0.03,0.04,9.355,3977.8,52.4,53.8,42.6,71.4,313.15,424.8,0.6,
CAG4350,G1752-204-060,98.83,17.43174,31.51,0.128,10.53,53.26,-0.09,0,7.559,3954.4,51.8,52.7,43.5,71.6,362.03,681.7,1,
CFB1844,G1752-204-020,74.45,16.63111,27.55,0.181,10.5,51.3,-0.04,0.02,9.037,3982,52.5,53.8,42.2,68.7,317.33,582.6,0.7,
CFA6685,G1752-204-053,66.8,14.15435,28.09,0.195,10.53,53.77,-0.17,0.09,8.736,3944.7,51.8,52.9,43.6,69.3,329.46,471.4,1.1,
CFAG539,G1752-204-029,77.07,14.94192,30.03,0.167,10.55,50.85,-0.05,0.09,8.045,3950.3,52.3,53.4,41.7,71.8,376.75,624.3,0.6,
CFB1065,G1752-204-021,75.21,19.01456,33.3,0.191,10.5,43.44,-0.13,0.12,7.059,3988.7,52,52.8,43.3,65.7,329.63,494.7,1,
CFB0174,G1752-204-021,58.97,18.08051,24.85,0.251,10.54,50.06,-0.02,0.05,10.134,3964.4,52,52.8,43.2,69.9,319.58,240.9,1,
CFB0316,G1752-204-024,63.04,12.93721,27.95,0.207,10.51,52.63,-0.08,0.06,8.773,3937.9,52.5,53.6,42.1,68.6,372.68,599,0.7,
CFB0338,G1752-204-024,69.8,17.80725,29.38,0.202,10.54,51.36,-0.03,0.04,8.264,3945.9,52.5,53.8,42.4,65.8,335.45,731.2,0.6,
CFB0271,G1752-204-024,64.55,16.54116,29.54,0.216,10.54,48.17,-0.11,0.11,8.223,3953.4,52.5,53.5,42.4,72.3,332.34,452.9,0.8,
CFB1073,G1752-204-021,69.23,16.47135,32.3,0.196,10.51,51.54,-0.04,0,7.36,3984.9,51.8,52.8,43.7,71.9,319.25,286.7,1,
CEKF328,G1752-204-059,101.58,18.11109,32.95,0.124,10.52,50.86,-0.11,0.21,7.095,3944,52.2,53.3,42.8,72.4,354.83,575.3,0.7,
CELH447,G1752-204-059,53.04,15.0198,33.16,0.269,10.55,50.4,-0.11,0.03,7.033,3944.3,51.5,52.3,44.5,70.8,328.07,284.3,1,
CFA9183,G1752-204-059,82.57,16.17377,31.37,0.157,10.5,48.15,-0.03,0.01,7.586,3944.3,52.3,53.2,42.5,71.4,353.12,419.6,1,
CFAG482,G1752-204-022,61.55,18.67874,22.58,0.237,10.53,52.26,-0.13,0.1,11.165,3948.8,52.1,53.2,42.8,67.3,317.3,257.8,0.8,
CFB0911,G1752-204-030,76.07,18.05638,32.49,0.177,10.51,58.13,-0.1,0,7.238,3946.5,52.5,53.4,40.9,71.1,368.01,471.3,0.9,
CFB0912,G1752-204-030,68.81,17.52378,27.52,0.198,10.51,50,-0.09,0.07,8.968,3949.7,52.3,53.1,41.7,68.9,357.84,328.8,1.04,
CFB1787,G1752-204-020,74.07,14.26762,26.59,0.173,10.52,56.18,-0.02,0.02,9.327,3944.5,52.6,53.3,41.1,70.9,385.77,768.1,0.98,
CFB1730,G1752-204-020,59.04,14.63763,32.91,0.232,10.5,51.26,-0.05,0.14,7.119,3951.7,52.6,52.9,41.1,70.9,335.36,373.9,1.13,
CFB0113,G1752-204-058,67.56,15.11858,25.15,0.194,10.55,56.11,-0.08,0.01,9.952,3948.8,52.3,53,43.1,71.1,313.19,502.6,1.16,
CFB0228,G1752-204-021,61.27,14.44476,23.7,0.217,10.52,52.2,-0.05,0.06,10.598,3943.3,52.8,53.2,40.7,68.9,356.11,310.4,1.02,
CFB1783,G1752-204-020,64.52,17.98343,27.24,0.221,10.54,56.13,-0.09,0.02,9.076,3948.7,52.8,53.6,41.4,71.4,323.44,430.7,1.05,
CEL3119,G1752-204-054,52.54,12.55046,23.75,0.261,10.54,47.8,-0.26,0.07,10.608,3953.3,52.5,53.4,42.7,72,325.28,332,1,
CFAG649,G1752-204-029,68.54,15.5196,26.29,0.189,10.52,51.8,-0.04,0.01,9.452,3944.9,52.7,53.6,43.6,71.6,311.18,297.8,0.5,
CFB0363,G1752-204-029,72.81,16.83314,26.86,0.186,10.54,51.64,-0.11,0.03,9.207,3940.6,52.4,53.6,43.4,71.5,335.54,269.8,0.6,
CFAE925,G1752-204-021,67.3,16.70795,31.85,0.206,10.56,49.54,-0.11,0.07,7.42,3936.8,52.3,53.3,42.9,71.9,350.58,346.2,0.8,
CFB0366,G1752-204-029,61.55,13.58964,26.87,0.216,10.51,42.57,-0.2,0,9.208,3942.5,52.3,53.1,41.6,72.9,358.51,358,0.5,
CFB0322,G1752-204-024,62.05,15.36565,25.12,0.222,10.51,48.21,-0.1,0,9.962,3947.8,52.5,53.3,42.4,72.3,360.28,423.6,0.5,
CFB1158,G1752-204-047,87.55,19.69126,31.03,0.148,10.51,49.81,-0.1,0.02,7.709,3951,52.4,53,41.6,71.6,364.05,631.5,0.8,
CFAC726,G1752-204-029,65.3,15.02591,22.8,0.21,10.57,51.14,-0.04,0,11.054,3948.6,52.7,53.6,41.9,66,343.33,410.7,1,
CFAG186,G1752-204-054,72.04,17.78439,29.81,0.191,10.52,52.09,-0.08,0.06,8.118,3948.6,52.2,52.9,42.1,72.5,349.57,721.4,1.2,
CFB1061,G1752-204-021,69.3,22.61801,33.67,0.221,10.52,47.34,-0.11,0.05,6.875,3938.1,52.4,53.3,41.6,71.1,328.58,531.8,0.6,
CFB0256,G1752-204-021,62.05,13.62729,28.03,0.214,10.54,51.1,-0.01,0.05,8.76,3945.2,52.5,53.5,41.4,72.1,388.43,443.3,1.2,
CFB0161,G1752-204-021,66.55,13.14592,24,0.195,10.54,48.49,-0.03,0.01,10.461,3944.6,52.5,54,41.2,70.6,388.81,521.6,1,
CFB1157,G1752-204-047,88.81,20.79788,31.45,0.157,10.53,50.61,-0.08,0.06,7.552,3939.7,51.5,52.8,44.1,66.9,330.59,599.9,0.8,
CFB1122,G1752-204-024,68.05,16.54565,27.84,0.199,10.5,51.19,-0.13,0,8.846,3950.7,52.5,53.8,41.7,72.3,356.25,597.7,0.6,
CFB0305,G1752-204-024,62.29,16.24459,23.72,0.224,10.51,42.3,-0.08,0.04,10.611,3949.9,52.9,53.5,41.6,72.4,381.45,360.7,0.6,
CFB0332,G1752-204-024,67.79,14.31697,28.85,0.195,10.5,48.13,-0.1,0,8.446,3941.7,52.3,53.6,41.7,71.8,348.48,655.3,0.7,
CFB0312,G1752-204-024,62.3,12.55635,28.04,0.209,10.5,51.1,-0.05,0.02,8.767,3949.7,52.2,53.1,41.2,71.7,378.18,536.7,0.7,
CFB0183,G1752-204-021,60.79,14.47922,23.67,0.224,10.54,49.09,-0.07,0.1,10.611,3943,52.7,53.8,41.2,73.1,362.9,363.1,0.6,
CFB0310,G1752-204-024,59.29,14.83723,25.14,0.232,10.57,46.43,-0.06,0.01,9.96,3950,52.7,54,42.1,71.9,349.34,477.4,0.6,
CFB0313,G1752-204-024,58.54,12.57583,29.08,0.226,10.51,50.25,-0.07,0.08,8.373,3946.5,52.4,53.3,41.2,71.5,356.37,555.7,0.6,
CFB0268,G1752-204-024,59.03,16.20766,26.22,0.238,10.51,49.74,-0.19,0.06,9.448,3933,52.2,53.3,42.1,70.1,332.31,320.1,0.7,
CFB1883,G1752-204-024,68.82,16.69026,25.25,0.184,10.53,54.67,-0.12,0.25,9.864,3934.2,52.3,53.1,40.9,69.2,325.15,440.9,1.34,
CFB0896,G1752-204-030,74.31,12.46247,23.31,0.167,10.5,54.24,-0.08,0.07,10.817,3952.5,52.5,53.4,41.4,68.6,350.91,347.1,1.28,
CFB0889,G1752-204-030,64.73,10.67215,23.98,0.191,10.56,51.76,-0.05,0.02,10.505,3955,52.4,53.6,42.2,71,339.23,525.3,1.35,
CFB0890,G1752-204-030,63.81,16.42619,23.94,0.215,10.53,50.64,-0.15,0.03,10.518,3953.2,52.6,53.4,41.6,69.9,357.59,397.5,1.15,
CFB0898,G1752-204-030,75.75,13.29148,25.29,0.163,10.5,53.02,-0.03,0.01,9.863,3939.7,52.5,53.6,41.7,71.2,338.81,207.4,1.36,
CFB1889,G1752-204-022,67.73,16.18683,30.63,0.196,10.51,53.12,-0.08,0.02,7.83,3944.7,52.3,52.9,40.7,68.4,356.06,240.2,1.17,
CFB0329,G1752-204-024,66.55,15.68582,27.81,0.205,10.52,43.76,-0.07,0.06,8.852,3948.4,52.7,53.6,41.4,73.6,351.31,580.5,0.5,
CFB0273,G1752-204-024,55.04,15.92811,27.7,0.263,10.57,51.72,-0.07,0.03,8.892,3947.3,52.5,53.3,42.9,70.8,314.6,279.6,0.7,
CFB1728,G1752-204-020,62.06,14.91199,31.85,0.217,10.52,53.02,-0.05,0.1,7.434,3944.9,52.6,53.6,41.1,71.7,376.01,356.3,1.05,
CFB0315,G1752-204-024,58.54,11.9525,26.11,0.225,10.54,50.41,-0.14,0.06,9.527,3944.8,52.5,53.8,41.6,69.9,347.87,585.5,0.7,
CFB1133,G1752-204-024,66.55,15.37959,29.16,0.203,10.51,52.4,-0.1,0.12,8.337,3943.2,52.9,54.1,41.7,70.9,336.75,542,0.6,
